INDUSTRYCODE,INDCLASSIFYSYSTEM,INDCLASSIFYSYSTEMCODE,INDUSTRYNAME,INDUSTRYNAME_EN
G57,证监会行业分类2012版,P0207,管道运输业,Pipeline Transportation
G56,证监会行业分类2012版,P0207,航空运输业,Air Transportation
C31,证监会行业分类2012版,P0207,黑色金属冶炼及压延加工业,Smelting and Pressing of Ferrous Metals
C27,证监会行业分类2012版,P0207,医药制造业,Medicine Manufacturing
C16,证监会行业分类2012版,P0207,烟草制品业,Tobacco Products
C33,证监会行业分类2012版,P0207,金属制品业,Metal Products
C20,证监会行业分类2012版,P0207,木材加工及木、竹、藤、棕、草制品业,"Timber Processing, Timber, Bamboo, Cane, Palm Fiber and Straw Products"
C32,证监会行业分类2012版,P0207,有色金属冶炼及压延加工业,Smelting and Pressing of Nonferrous Metals
C25,证监会行业分类2012版,P0207,石油加工、炼焦及核燃料加工业,"Petroleum Processing, Coking and Nuclear Fuel Processing "
C26,证监会行业分类2012版,P0207,化学原料及化学制品制造业,Raw Chemical Materials and Chemical Products
C35,证监会行业分类2012版,P0207,专用设备制造业,Special Equipment Manufacturing 
C37,证监会行业分类2012版,P0207,铁路、船舶、航空航天和其它运输设备制造业,"Manufacturing of Railway, Ship, Aerospace and Other Transportation Equipments"
C22,证监会行业分类2012版,P0207,造纸及纸制品业,Papermaking and Paper Products
G59,证监会行业分类2012版,P0207,仓储业,Warehousing
G55,证监会行业分类2012版,P0207,水上运输业,Water Transportation
O,证监会行业分类2012版,P0207,居民服务、修理和其他服务业,"Residential Service, Repair and Other Service"
B12,证监会行业分类2012版,P0207,其他采矿业,Other Mining
E49,证监会行业分类2012版,P0207,建筑安装业,Construction and Installation
N76,证监会行业分类2012版,P0207,水利管理业,Water Conservancy Management 
E,证监会行业分类2012版,P0207,建筑业,Construction
S,证监会行业分类2012版,P0207,综合,Conglomerates
R,证监会行业分类2012版,P0207,文化、体育和娱乐业,"Culture, Sport & Entertainment Industry "
O79,证监会行业分类2012版,P0207,居民服务业,Residential Service
A,证监会行业分类2012版,P0207,农、林、牧、渔业,"Farming, Forestry, Animal Husbandry, and Fishery"
O81,证监会行业分类2012版,P0207,其他服务业,Other Services 
A02,证监会行业分类2012版,P0207,林业,Forestry
B,证监会行业分类2012版,P0207,采矿业,Mining
D44,证监会行业分类2012版,P0207,电力、热力生产和供应业,"Electric Power, Thermal Production and Supply "
C42,证监会行业分类2012版,P0207,废弃资源综合利用业,Comprehensive?use?of?waste resource 
G54,证监会行业分类2012版,P0207,道路运输业,Highway Transport
N78,证监会行业分类2012版,P0207,公共设施管理业,Public Facilities Management
P82,证监会行业分类2012版,P0207,教育,Education
L71,证监会行业分类2012版,P0207,租赁业,Leasing Industry
C,证监会行业分类2012版,P0207,制造业,Manufacturing
C13,证监会行业分类2012版,P0207,农副食品加工业,Farm Products Processing
C28,证监会行业分类2012版,P0207,化学纤维制造业,Chemical Fibre Manufacture
A03,证监会行业分类2012版,P0207,畜牧业,Graziery
A04,证监会行业分类2012版,P0207,渔业,Fishery
C40,证监会行业分类2012版,P0207,仪器仪表制造业,Manufacturing of instrument and meter 
C18,证监会行业分类2012版,P0207,纺织服装、服饰业,Textile garments and costume
C41,证监会行业分类2012版,P0207,其他制造业,Other manufacturing 
E48,证监会行业分类2012版,P0207,土木工程建筑业,Civil Engineering Construction
P,证监会行业分类2012版,P0207,教育,Education
C14,证监会行业分类2012版,P0207,食品制造业,Food Manufacturing
I65,证监会行业分类2012版,P0207,软件和信息技术服务业,Software and information technology service
R85,证监会行业分类2012版,P0207,新闻和出版业,Journalism and publishing
L,证监会行业分类2012版,P0207,租赁和商务服务业,Leasing and Business Service
R88,证监会行业分类2012版,P0207,体育,Sport
F52,证监会行业分类2012版,P0207,零售业,Retail Industry
Q83,证监会行业分类2012版,P0207,卫生,Sanitation
Q84,证监会行业分类2012版,P0207,社会工作,Social work
S90,证监会行业分类2012版,P0207,综合,Conglomerates
I,证监会行业分类2012版,P0207,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Service "
H62,证监会行业分类2012版,P0207,餐饮业,Food and Beverage
K,证监会行业分类2012版,P0207,房地产业,Real Estate
C21,证监会行业分类2012版,P0207,家具制造业,Furniture Manufacture
C38,证监会行业分类2012版,P0207,电气机械及器材制造业,Electric Machines and Apparatuses Manufacture
J68,证监会行业分类2012版,P0207,保险业,Insurance
D45,证监会行业分类2012版,P0207,燃气生产和供应业,Production and Supply of Gas 
E47,证监会行业分类2012版,P0207,房屋建筑业,Building Construction
B10,证监会行业分类2012版,P0207,非金属矿采选业,Nonmetallic Mineral Mining and Quarrying
C30,证监会行业分类2012版,P0207,非金属矿物制品业,Nonmetallic Mineral Products
A01,证监会行业分类2012版,P0207,农业,Agriculture
C36,证监会行业分类2012版,P0207,汽车制造业,Automobile Manufacturing
B08,证监会行业分类2012版,P0207,黑色金属矿采选业,Ferrous Metal  Ore Mining and Dressing
D46,证监会行业分类2012版,P0207,水的生产和供应业,Production and Supply of Water 
B09,证监会行业分类2012版,P0207,有色金属矿采选业,Nonferrous Metal Ore Mining and Dressing
A05,证监会行业分类2012版,P0207,农、林、牧、渔服务业,"Farming, Forestry, Animal Husbandry, and Fishery Services"
G53,证监会行业分类2012版,P0207,铁路运输业,Railroad Transportation
Q,证监会行业分类2012版,P0207,卫生和社会工作,Health and Social Work
F,证监会行业分类2012版,P0207,批发和零售业,Wholesale and Retail
J66,证监会行业分类2012版,P0207,货币金融服务,Monetary and financial services
R89,证监会行业分类2012版,P0207,娱乐业,Entertainment Industry
M,证监会行业分类2012版,P0207,科学研究和技术服务业,Scientific Research and Technology Service 
C17,证监会行业分类2012版,P0207,纺织业,Textile
B06,证监会行业分类2012版,P0207,煤炭开采和洗选业,Mining and Dressing of coal
C34,证监会行业分类2012版,P0207,通用设备制造业,General Equipment Manufacturing
L72,证监会行业分类2012版,P0207,商务服务业,Business Service
J,证监会行业分类2012版,P0207,金融业,Finance
K70,证监会行业分类2012版,P0207,房地产业,Real Estate
B11,证监会行业分类2012版,P0207,开采辅助活动,Auxiliary activities of mining
C29,证监会行业分类2012版,P0207,橡胶和塑料制品业,Rubber and plastic product industry 
D,证监会行业分类2012版,P0207,电力、热力、燃气及水生产和供应业,"Electricity, heat, gas and water production and supply"
M75,证监会行业分类2012版,P0207,科技推广和应用服务业,Technology promotion and application services
M74,证监会行业分类2012版,P0207,专业技术服务业,Professional Technological Service
H,证监会行业分类2012版,P0207,住宿和餐饮业,Hotels and Catering 
B07,证监会行业分类2012版,P0207,石油和天然气开采业,Petroleum and Natural Gas Extraction Industry
J69,证监会行业分类2012版,P0207,其他金融业,Other Finance
G60,证监会行业分类2012版,P0207,邮政业,Postal 
H61,证监会行业分类2012版,P0207,住宿业,Hotels  
N,证监会行业分类2012版,P0207,水利、环境和公共设施管理业,"Water, Environment and Public Facilities Management"
G,证监会行业分类2012版,P0207,交通运输、仓储和邮政业,"Transport, Storage and Postal"
R87,证监会行业分类2012版,P0207,文化艺术业,Culture & Arts
N77,证监会行业分类2012版,P0207,生态保护和环境治理业,Ecological protection and environmental governance
G58,证监会行业分类2012版,P0207,装卸搬运和运输代理业,"Loading, unloading and transport agency"
J67,证监会行业分类2012版,P0207,资本市场服务,Capital market service
C15,证监会行业分类2012版,P0207,酒、饮料和精制茶制造业,"Manufacturing industry of wine, beverage and refined tea"
C19,证监会行业分类2012版,P0207,皮革、毛皮、羽毛及其制品和制鞋业,"Leather, fur, feather and their products and shoe-making industry "
I63,证监会行业分类2012版,P0207,电信、广播电视和卫星传输服务,"Telecommunication, broadcasting and TV and satellite transmission service"
O80,证监会行业分类2012版,P0207,机动车、电子产品和日用产品修理业,"Retail of motor vehicles, electronic products and daily use products"
