,Time,TotalValue,Cash,CashAvailable,CashFrozen,InitCash,SecurityValue
0,2016-01-04 00:00:00.000,100000.0,100000.0,100000.0,0,100000.0,0
0,2016-01-04 00:00:00.000,99958.00735,28579.00735,28579.00735,0.0,100000.0,71379.0
0,2016-01-05 00:00:00.000,100396.32725,26296.32725,26296.32725,0.0,100000.0,74100.0
0,2016-01-06 00:00:00.000,101238.62115,23987.62115,23987.62115,0.0,100000.0,77251.0
0,2016-01-07 00:00:00.000,97283.03305,21797.03305,21797.03305,0.0,100000.0,75486.0
0,2016-01-08 00:00:00.000,98522.40895,19570.40895,19570.40895,0.0,100000.0,78952.0
0,2016-01-11 00:00:00.000,95963.85685,17415.85685,17415.85685,0.0,100000.0,78548.0
0,2016-01-12 00:00:00.000,96326.29475,15251.29475,15251.29475,0.0,100000.0,81075.0
0,2016-01-13 00:00:00.000,95573.75265,13106.75265,13106.75265,0.0,100000.0,82467.0
0,2016-01-14 00:00:00.000,96033.19855,10950.19855,10950.19855,0.0,100000.0,85083.0
0,2016-01-15 00:00:00.000,93581.70645,8855.70645,8855.70645,0.0,100000.0,84726.0
0,2016-01-18 00:00:00.000,93174.22435,6771.22435,6771.22435,0.0,100000.0,86403.0
0,2016-01-19 00:00:00.000,95661.68225,4626.68225,4626.68225,0.0,100000.0,91035.0
0,2016-01-20 00:00:00.000,94214.17415,2516.17415,2516.17415,0.0,100000.0,91698.0
0,2016-01-21 00:00:00.000,92297.71005,449.71005,449.71005,0.0,100000.0,91848.0
0,2016-01-22 00:00:00.000,93008.47005,448.47005,448.47005,0.0,100000.0,92560.0
0,2016-01-25 00:00:00.000,92740.23305,447.23305,447.23305,0.0,100000.0,92293.0
0,2016-01-26 00:00:00.000,88289.04605,446.04605,446.04605,0.0,100000.0,87843.0
0,2016-01-27 00:00:00.000,88376.85805,444.85805,444.85805,0.0,100000.0,87932.0
0,2016-01-28 00:00:00.000,86684.68905,443.68905,443.68905,0.0,100000.0,86241.0
0,2016-01-29 00:00:00.000,89442.48905,442.48905,442.48905,0.0,100000.0,89000.0
0,2016-02-01 00:00:00.000,87661.30905,441.30905,441.30905,0.0,100000.0,87220.0
0,2016-02-02 00:00:00.000,88995.11405,440.11405,440.11405,0.0,100000.0,88555.0
0,2016-02-03 00:00:00.000,88103.92905,438.92905,438.92905,0.0,100000.0,87665.0
0,2016-02-04 00:00:00.000,88992.73405,437.73405,437.73405,0.0,100000.0,88555.0
0,2016-02-05 00:00:00.000,88724.54205,436.54205,436.54205,0.0,100000.0,88288.0
0,2016-02-15 00:00:00.000,87566.36305,435.36305,435.36305,0.0,100000.0,87131.0
0,2016-02-16 00:00:00.000,89523.16205,434.16205,434.16205,0.0,100000.0,89089.0
0,2016-02-17 00:00:00.000,90767.94705,432.94705,432.94705,0.0,100000.0,90335.0
0,2016-02-18 00:00:00.000,90232.73805,431.73805,431.73805,0.0,100000.0,89801.0
0,2016-02-19 00:00:00.000,89786.53405,430.53405,430.53405,0.0,100000.0,89356.0
0,2016-02-22 00:00:00.000,92010.30505,429.30505,429.30505,0.0,100000.0,91581.0
0,2016-02-23 00:00:00.000,90496.09305,428.09305,428.09305,0.0,100000.0,90068.0
0,2016-02-24 00:00:00.000,90761.87805,426.87805,426.87805,0.0,100000.0,90335.0
0,2016-02-25 00:00:00.000,86488.71105,425.71105,425.71105,0.0,100000.0,86063.0
0,2016-02-26 00:00:00.000,87555.53205,424.53205,424.53205,0.0,100000.0,87131.0
0,2016-02-29 00:00:00.000,85507.37605,423.37605,423.37605,0.0,100000.0,85084.0
0,2016-03-01 00:00:00.000,86752.20605,422.20605,422.20605,0.0,100000.0,86330.0
0,2016-03-02 00:00:00.000,90310.99605,420.99605,420.99605,0.0,100000.0,89890.0
