,Time,TotalValue,Cash,CashAvailable,CashFrozen,InitCash,SecurityValue
0,2016-01-04 00:00:00.000,1e+20,1e+20,1e+20,0,1e+20,0
0,2016-01-04 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,1133.0
0,2016-01-05 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,2280.0
0,2016-01-06 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,3459.0
0,2016-01-07 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,4376.0
0,2016-01-08 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,5560.0
0,2016-01-11 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,6456.0
0,2016-01-12 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,7567.0
0,2016-01-13 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,8568.0
0,2016-01-14 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,9693.0
0,2016-01-15 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,10460.0
0,2016-01-18 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,11451.0
0,2016-01-19 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,12852.0
0,2016-01-20 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,13702.0
0,2016-01-21 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,14448.0
0,2016-01-22 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,15600.0
0,2016-01-25 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,16592.0
0,2016-01-26 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,16779.0
0,2016-01-27 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,17784.0
0,2016-01-28 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,18411.0
0,2016-01-29 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,20000.0
0,2016-02-01 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,20580.0
0,2016-02-02 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,21890.0
0,2016-02-03 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,22655.0
0,2016-02-04 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,23880.0
0,2016-02-05 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,24800.0
0,2016-02-15 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,25454.0
0,2016-02-16 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,27027.0
0,2016-02-17 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,28420.0
0,2016-02-18 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,29261.0
0,2016-02-19 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,30120.0
0,2016-02-22 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,31899.0
0,2016-02-23 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,32384.0
0,2016-02-24 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,33495.0
0,2016-02-25 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,32878.0
0,2016-02-26 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,34265.0
0,2016-02-29 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,34416.0
0,2016-03-01 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,35890.0
0,2016-03-02 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,38380.0
0,2016-03-03 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,39429.0
0,2016-03-04 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,41600.0
0,2016-03-07 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,42394.0
0,2016-03-08 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,43176.0
0,2016-03-09 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,43731.0
0,2016-03-10 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,44660.0
0,2016-03-11 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,45720.0
0,2016-03-14 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,47196.0
0,2016-03-15 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,48504.0
0,2016-03-16 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,49680.0
0,2016-03-17 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,51058.0
0,2016-03-18 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,52700.0
0,2016-03-21 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,55080.0
0,2016-03-22 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,55744.0
0,2016-03-23 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,56710.0
0,2016-03-24 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,56808.0
0,2016-03-25 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,58245.0
0,2016-03-28 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,58688.0
0,2016-03-29 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,59451.0
0,2016-03-30 00:00:00.000,1e+20,1e+20,1e+20,0.0,1e+20,62060.0
